#s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
58.3873441,-63.1225600,37.3335029,2.2563446,0.0431036,8.4999670,0.0000002
58.5873008,-63.2498146,37.4877397,2.2648948,0.0423033,8.4999670,-0.0000007
58.7872574,-63.3783684,37.6408953,2.2732323,0.0409882,8.4999670,-0.0000006
58.9872141,-63.5081723,37.7929931,2.2812600,0.0392161,8.4999670,0.0000015
59.1871708,-63.6391643,37.9440690,2.2888925,0.0370516,8.4999670,0.0000032
59.3871274,-63.7712715,38.0941710,2.2960588,0.0345701,8.4999671,0.0000026
59.5870841,-63.9044127,38.2433566,2.3027039,0.0318576,8.4999672,0.0000022
59.7870407,-64.0385014,38.3916915,2.3087903,0.0290000,8.4999672,0.0000017
59.9869974,-64.1734479,38.5392465,2.3142973,0.0260780,8.4999673,0.0000013
60.1869541,-64.3091620,38.6860959,2.3192193,0.0231640,8.4999673,0.0000010
60.3869107,-64.4455550,38.8323151,2.3235644,0.0203189,8.4999673,0.0000007
60.5868674,-64.5825412,38.9779788,2.3273514,0.0175912,8.4999673,0.0000004
60.7868240,-64.7200391,39.1231595,2.3306078,0.0150172,8.4999674,0.0000003
60.9867807,-64.8579727,39.2679264,2.3333669,0.0126221,8.4999674,0.0000002
61.1867373,-64.9962714,39.4123444,2.3356662,0.0104218,8.4999674,0.0000001
61.3866940,-65.1348712,39.5564736,2.3375458,0.0084243,8.4999674,0.0000001
61.5866507,-65.2737138,39.7003687,2.3390465,0.0066313,8.4999674,0.0000001
61.7866073,-65.4127474,39.8440794,2.3402088,0.0050396,8.4999674,0.0000001
61.9865640,-65.5519260,39.9876495,2.3410725,0.0036421,8.4999674,0.0000001
62.1865206,-65.6912095,40.1311181,2.3416754,0.0024289,8.4999674,0.0000001
62.3864773,-65.8305628,40.2745186,2.3420532,0.0013882,8.4999674,0.0000002
62.5864339,-65.9699562,40.4178803,2.3422391,0.0005066,8.4999674,0.0000002
62.7863906,-66.1093643,40.5612277,2.3422635,-0.0002300,8.4999674,0.0000002
62.9863473,-66.2487660,40.7045814,2.3421540,-0.0008362,8.4999674,0.0000003
63.1863039,-66.3881440,40.8479582,2.3419352,-0.0013266,8.4999674,0.0000003
63.3862606,-66.5274840,40.9913718,2.3416288,-0.0017154,8.4999674,0.0000003
63.5862172,-66.6667750,41.1348332,2.3412537,-0.0020182,8.4999674,0.0000004
63.7861739,-66.8060082,41.2783507,2.3408253,-0.0022510,8.4999674,0.0000004
63.9861306,-66.9451754,41.4219293,2.3403571,-0.0024115,8.4999674,0.0000004
64.1860872,-67.0842719,41.5655732,2.3398643,-0.0025080,8.4999674,0.0000004
64.3860439,-67.2232963,41.7092867,2.3393564,-0.0025616,8.4999675,0.0000004
64.5860005,-67.3622472,41.8530715,2.3388421,-0.0025736,8.4999675,0.0000004
64.7859572,-67.5011241,41.9969276,2.3383289,-0.0025516,8.4999675,0.0000004
64.9859138,-67.6399276,42.1408546,2.3378231,-0.0025015,8.4999675,0.0000004
65.1858705,-67.7786592,42.2848510,2.3373297,-0.0024282,8.4999675,0.0000005
65.3858272,-67.9173210,42.4289148,2.3368531,-0.0023351,8.4999675,0.0000005
65.5857838,-68.0559156,42.5730434,2.3363969,-0.0022239,8.4999675,0.0000005
65.7857405,-68.1944462,42.7172337,2.3359646,-0.0020956,8.4999675,0.0000005
65.9856971,-68.3329164,42.8614820,2.3355598,-0.0019493,8.4999675,0.0000005
66.1856538,-68.4713306,43.0057844,2.3351862,-0.0017832,8.4999675,0.0000005
66.3856105,-68.6096935,43.1501363,2.3348480,-0.0015944,8.4999676,0.0000005
66.5855671,-68.7480105,43.2945323,2.3345501,-0.0013790,8.4999676,0.0000004
66.7855238,-68.8862879,43.4389665,2.3342983,-0.0011321,8.4999676,0.0000004
66.9854804,-69.0245328,43.5834321,2.3340995,-0.0008483,8.4999676,0.0000004
67.1854371,-69.1627533,43.7279212,2.3339617,-0.0005216,8.4999676,0.0000004
