#s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
44.5931586,0.9892120,16.9053635,2.3740521,-0.1217467,8.0194515,-0.3310188
44.7931279,0.8470587,17.0459800,2.3489496,-0.1294159,8.0111931,-0.3251108
44.9930973,0.7085485,17.1902654,2.3223867,-0.1359137,8.0030738,-0.3313013
45.1930666,0.5739834,17.3382852,2.2946956,-0.1406300,7.9947914,-0.3504991
45.3930359,0.4436285,17.4900299,2.2662407,-0.1436446,7.9860198,-0.3816750
45.5930052,0.3176910,17.6454417,2.2373431,-0.1451842,7.9764570,-0.4207597
45.7929745,0.1963260,17.8044232,2.2082762,-0.1454721,7.9659016,-0.4593575
45.9929439,0.0796425,17.9668468,2.1792699,-0.1446817,7.9543619,-0.4826330
46.1929132,-0.0322917,18.1325604,2.1505262,-0.1429084,7.9422194,-0.4643479
46.3928825,-0.1394482,18.3013914,2.1222456,-0.1400740,7.9305194,-0.3525565
46.5928518,-0.2418418,18.4731479,2.0946648,-0.1358964,7.9216247,-0.0258869
46.7928212,-0.3395483,18.6476129,2.0681956,-0.1288811,7.9209712,0.8411698
46.9927905,-0.4327620,18.8245216,2.0437189,-0.1157573,7.9421786,2.8187318
47.1927598,-0.5220015,19.0034726,2.0244639,-0.0751642,8.0128347,4.8458730
47.3927291,-0.6086475,19.1837001,2.0155491,-0.0122741,8.1328699,4.5415082
47.5926984,-0.6947588,19.3641897,2.0177985,0.0325515,8.2437793,3.5206598
47.7926678,-0.7819750,19.5441524,2.0271941,0.0592986,8.3287421,-3.2400760
47.9926371,-0.8713082,19.7230771,2.0412409,0.0807423,8.2505826,-4.1137434
48.1926064,-0.9635193,19.9005396,2.0594630,0.1014843,8.1502680,-2.1963556
48.3925757,-1.0593044,20.0761042,2.0816003,0.1192962,8.0962004,-0.3930546
48.5925450,-1.1592295,20.2493508,2.1066435,0.1295606,8.0864864,-0.0555210
48.7925144,-1.2636011,20.4199602,2.1331388,0.1345801,8.0851134,-0.1496699
48.9924837,-1.3725248,20.5877007,2.1604040,0.1378560,8.0814107,-0.2375506
49.1924530,-1.4860263,20.7523714,2.1882238,0.1401158,8.0755305,-0.3048463
49.3924223,-1.6040865,20.9137871,2.2163890,0.1413509,8.0679783,-0.3521285
49.5923916,-1.7266409,21.0717817,2.2446723,0.1413159,8.0592459,-0.3815902
49.7923610,-1.8535737,21.2262177,2.2727765,0.1396249,8.0497721,-0.3955593
49.9923303,-1.9847093,21.3770007,2.3003212,0.1358345,8.0399398,-0.3958261
50.1922996,-2.1200461,21.5243544,2.3268895,0.1294743,8.0300888,-0.3850462
50.3922689,-2.2591875,21.6682010,2.3519556,0.1207360,8.0204944,-0.3681864
50.5922383,-2.4016673,21.8085612,2.3750728,0.1104640,8.0113094,-0.3479671
50.7922076,-2.5470935,21.9456354,2.3960913,0.1003603,8.0026192,-0.3239330
50.9921769,-2.6951835,22.0797055,2.4154223,0.0945315,7.9945206,-0.2949884
51.1921462,-2.8458997,22.2110357,2.4342223,0.0943433,7.9871386,-0.2570667
51.3921155,-2.9988953,22.3390674,2.4563552,0.1230783,7.9807000,-0.2190747
51.5920849,-3.1550107,22.4634317,2.4817247,0.1313718,7.9752088,-0.1795175
51.7920542,-3.3145816,22.5838344,2.5090185,0.1423292,7.9707063,-0.1405998
51.9920235,-3.4775904,22.6997111,2.5385052,0.1512733,7.9671782,-0.1034621
52.1919928,-3.6440677,22.8106379,2.5692937,0.1554831,7.9645809,-0.0691008
52.3919621,-3.8139281,22.9163453,2.6005802,0.1563671,7.9628458,-0.0379721
52.5919315,-3.9870258,23.0166942,2.6318031,0.1549656,7.9618922,-0.0097212
52.7919008,-4.1631659,23.1116327,2.6625799,0.1520417,7.9616480,0.0170886
52.9918701,-4.3421206,23.2011696,2.6926558,0.1481276,7.9620772,0.0453000
53.1918394,-4.5236440,23.2853582,2.7218634,0.1435735,7.9632148,0.0796163
53.3918087,-4.7074841,23.3642871,2.7500928,0.1385973,7.9652139,0.1273314
53.5917781,-4.8933934,23.4380733,2.7772698,0.1333130,7.9684099,0.2049608
53.7917474,-5.0811548,23.5068662,2.8033334,0.1276331,7.9735518,0.3430932
53.9917167,-5.2706574,23.5708679,2.8282292,0.1214366,7.9821517,0.5601694
54.1916860,-5.4616934,23.6302647,2.8518222,0.1143046,7.9961727,0.9069869
54.3916554,-5.6540421,23.6852836,2.8738751,0.1057759,8.0188227,1.4249044
54.5916247,-5.8475192,23.7362305,2.8939474,0.0939066,8.0542779,2.1030218
54.7915940,-6.0418824,23.7835359,2.9111511,0.0762521,8.1063229,2.8364050
54.9915633,-6.2368004,23.8278388,2.9244830,0.0590579,8.1759929,3.4682027
55.1915326,-6.4321854,23.8698262,2.9349368,0.0467442,8.2603830,3.8843151
55.3915020,-6.6280384,23.9100013,2.9432696,0.0367370,8.3538863,3.8234418
55.5914713,-6.8241982,23.9487382,2.9497064,0.0286278,8.4449131,2.1024150
