#s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
330.3989325,46.5676221,-3.2194524,3.7757155,0.0019822,8.4999678,-0.0000001
330.5989318,46.4065291,-3.3379720,3.7760486,0.0013429,8.4999678,-0.0000000
330.7989312,46.2454680,-3.4565347,3.7762512,0.0006782,8.4999678,-0.0000000
330.9989305,46.0844231,-3.5751191,3.7763187,-0.0000071,8.4999678,-0.0000000
331.1989299,45.9233781,-3.6937032,3.7762475,-0.0007081,8.4999678,-0.0000000
331.3989292,45.7623164,-3.8122644,3.7760349,-0.0014202,8.4999678,0.0000000
331.5989286,45.6012211,-3.9307798,3.7756792,-0.0021381,8.4999678,0.0000000
331.7989279,45.4400752,-4.0492262,3.7751797,-0.0028559,8.4999678,0.0000000
331.9989273,45.2788617,-4.1675806,3.7745373,-0.0035664,8.4999678,0.0000001
332.1989266,45.1175639,-4.2858200,3.7737541,-0.0042612,8.4999678,0.0000001
332.3989260,44.9561654,-4.4039219,3.7728343,-0.0049298,8.4999678,0.0000001
332.5989254,44.7946506,-4.5218647,3.7717843,-0.0055600,8.4999678,0.0000001
332.7989247,44.6330048,-4.6396280,3.7706132,-0.0061374,8.4999678,0.0000001
332.9989241,44.4712147,-4.7571928,3.7693331,-0.0066452,8.4999678,0.0000001
333.1989234,44.3092685,-4.8745427,3.7679598,-0.0070644,8.4999678,0.0000001
333.3989228,44.1471567,-4.9916639,3.7665131,-0.0073737,8.4999678,0.0000001
333.5989221,43.9848725,-5.1085461,3.7650173,-0.0075486,8.4999678,0.0000000
333.7989215,43.8224118,-5.2251837,3.7635017,-0.0075685,8.4999678,-0.0000001
333.9989208,43.6597750,-5.3415755,3.7620000,-0.0073844,8.4999678,-0.0000002
334.1989202,43.4969670,-5.4577268,3.7605495,-0.0072459,8.4999678,-0.0000006
334.3989195,43.3339804,-5.5736488,3.7590902,-0.0072248,8.4999678,-0.0000013
334.5989189,43.1708128,-5.6893466,3.7577099,-0.0059953,8.4999677,-0.0000020
334.7989182,43.0075129,-5.8048494,3.7567846,-0.0035011,8.4999677,-0.0000025
334.9989176,42.8441369,-5.9202318,3.7562650,-0.0015633,8.4999676,-0.0000029
335.1989170,42.6807246,-6.0355651,3.7561918,0.0009012,8.4999676,-0.0000031
335.3989163,42.5173360,-6.1509270,3.7566470,0.0037390,8.4999675,-0.0000032
335.5989157,42.3540359,-6.2664112,3.7577175,0.0070451,8.4999674,-0.0000030
335.7989150,42.1909015,-6.3821253,3.7594966,0.0108227,8.4999673,-0.0000025
335.9989144,42.0280208,-6.4981925,3.7620819,0.0151021,8.4999673,-0.0000014
336.1989137,41.8654945,-6.6147515,3.7655755,0.0198995,8.4999672,0.0000004
336.3989131,41.7034362,-6.7319571,3.7700821,0.0252262,8.4999673,0.0000033
336.5989124,41.5419740,-6.8499798,3.7757071,0.0310794,8.4999673,0.0000077
336.7989118,41.3812508,-6.9690050,3.7825540,0.0374402,8.4999675,0.0000135
336.9989111,41.2214249,-7.0892318,3.7907197,0.0442673,8.4999678,0.0000208
337.1989105,41.0626707,-7.2108705,3.8002948,0.0515409,8.4999683,0.0000288
337.3989098,40.9051794,-7.3341416,3.8113765,0.0593203,8.4999690,0.0000319
337.5989092,40.7491604,-7.4592735,3.8240280,0.0672276,8.4999697,0.0000256
337.7989086,40.5948347,-7.5864919,3.8382418,0.0749373,8.4999703,0.0000075
337.9989079,40.4424290,-7.7160090,3.8539676,0.0823262,8.4999705,-0.0000213
338.1989073,40.2921714,-7.8480173,3.8711181,0.0891563,8.4999700,-0.0000586
338.3989066,40.1442860,-7.9826833,3.8895674,0.0952817,8.4999686,-0.0000998
338.5989060,39.9989884,-8.1201423,3.9091651,0.1006045,8.4999663,-0.0001368
338.7989053,39.8564817,-8.2604961,3.9297467,0.1050866,8.4999631,-0.0001584
338.9989047,39.7169534,-8.4038124,3.9511440,0.1087380,8.4999594,-0.0001524
339.1989040,39.5805743,-8.5501265,3.9731944,0.1116013,8.4999558,-0.0001077
339.3989034,39.4474965,-8.6994434,3.9957441,0.1137313,8.4999532,-0.0000317
339.5989027,39.3178538,-8.8517414,4.0186534,0.1152316,8.4999525,0.0000884
339.7989021,39.1917618,-9.0069765,4.0418090,0.1162220,8.4999546,0.0001936
339.9989014,39.0693204,-9.1650875,4.0651147,0.1167701,8.4999591,0.0001465
340.1989008,38.9506123,-9.3260014,4.0884883,0.1169450,8.4999626,0.0000842
340.3989002,38.8357085,-9.4896330,4.1118748,0.1169422,8.4999645,0.0000532
340.5988995,38.7246634,-9.6559059,4.1352720,0.1171713,8.4999658,0.0000329
340.7988989,38.6175497,-9.8247588,4.1589983,0.1197441,8.4999666,0.0000211
340.9988982,38.5144927,-9.9961032,4.1827058,0.1175114,8.4999671,0.0000135
341.1988976,38.4154922,-10.1698448,4.2062223,0.1177890,8.4999674,0.0000076
341.3988969,38.3206113,-10.3458701,4.2298260,0.1182987,8.4999676,0.0000029
341.5988963,38.2299143,-10.5241030,4.2535357,0.1188075,8.4999676,-0.0000008
341.7988956,38.1434715,-10.7044521,4.2773413,0.1192464,8.4999676,-0.0000041
341.9988950,38.0613486,-10.8868230,4.3012308,0.1196251,8.4999675,-0.0000074
342.1988943,37.9836081,-11.0711161,4.3251909,0.1199402,8.4999673,-0.0000106
342.3988937,37.9103078,-11.2572282,4.3492085,0.1201940,8.4999671,-0.0000140
342.5988930,37.8415011,-11.4450527,4.3732706,0.1203904,8.4999668,-0.0000174
342.7988924,37.7772536,-11.6344272,4.3973586,0.1205236,8.4999664,-0.0000205
