#x_m,y_m,w_tr
26.360844,1.789657,1.593445
26.444738,1.761405,1.593445
26.530761,1.738294,1.510511
26.616179,1.713722,1.593445
26.700698,1.686981,1.593445
26.786721,1.663869,1.510511
26.871695,1.638225,1.483435
26.956477,1.612118,1.593445
27.042500,1.589006,1.510511
27.127030,1.562290,1.483435
27.208871,1.529084,1.593445
27.294713,1.505534,1.510511
27.380736,1.482423,1.483435
27.465255,1.455682,1.593445
27.551278,1.432570,1.566795
27.637301,1.409459,1.510511
27.721821,1.382718,1.593872
27.807844,1.359607,1.566795
27.893866,1.336495,1.510511
27.979889,1.313384,1.483435
28.068465,1.296435,1.593872
28.159274,1.284879,1.566795
28.250084,1.273323,1.539719
28.341372,1.262925,1.510511
28.432182,1.251369,1.483435
28.522991,1.239813,1.456359
28.613801,1.228258,1.539719
28.704418,1.216238,1.512643
28.791036,1.194562,1.512643
28.877058,1.171450,1.512643
28.965599,1.154416,1.512643
29.056408,1.142861,1.593872
29.147218,1.131305,1.620948
29.238027,1.119749,1.620948
29.329029,1.108657,1.593872
29.424030,1.107222,1.539719
29.519626,1.107222,1.512643
29.615222,1.107222,1.512643
29.710818,1.107222,1.512643
29.806414,1.107222,1.512643
29.902010,1.107222,1.512643
29.997606,1.107222,1.512643
30.093202,1.107222,1.512643
30.188798,1.107222,1.512643
30.284394,1.107222,1.512643
30.379990,1.107222,1.512643
30.475586,1.107222,1.512643
30.571182,1.107222,1.512643
30.666778,1.107222,1.512643
30.762374,1.107222,1.512643
30.857970,1.107222,1.512643
30.953566,1.107222,1.512643
31.049162,1.107222,1.512643
31.143508,1.110241,1.512643
31.234317,1.121796,1.512643
31.325127,1.133352,1.512643
31.415936,1.144908,1.512643
31.506746,1.156463,1.402206
31.597555,1.168019,1.429282
31.688209,1.179951,1.483435
31.776113,1.198521,1.510511
31.866922,1.210076,1.566795
31.957132,1.223080,1.593872
32.043342,1.245740,1.483435
32.129365,1.268852,1.510511
32.214344,1.294483,1.593445
32.295736,1.328774,1.483435
32.381128,1.353409,1.510511
32.465663,1.380112,1.593445
32.547499,1.413331,1.483435
32.633335,1.436894,1.510511
32.717426,1.464669,1.593445
32.799707,1.496817,1.510511
32.883969,1.524178,1.593445
32.964231,1.561197,1.510511
33.042169,1.603828,1.593445
33.123405,1.638495,1.483435
33.203224,1.676585,1.510511
33.281605,1.718144,1.483435
33.361595,1.755821,1.510511
33.439806,1.797794,1.483435
33.520941,1.832706,1.510511
33.602177,1.867373,1.510511
33.682509,1.904223,1.510511
33.760377,1.947022,1.510511
33.840881,1.983459,1.510511
33.918631,2.026542,1.510511
33.999306,2.062565,1.510511
34.077056,2.105648,1.510511
34.158292,2.140315,1.510511
34.239427,2.175227,1.510511
34.320445,2.210423,1.510511
34.398195,2.253506,1.510511
34.479378,2.288303,1.510511
34.560513,2.323215,1.510511
34.641648,2.358127,1.483435
34.719008,2.402153,1.593445
34.796463,2.445948,1.510511
34.874214,2.489031,1.593445
34.954882,2.525069,1.510511
35.035970,2.560096,1.593445
35.113720,2.603179,1.510511
35.194833,2.638145,1.593445
35.275968,2.673057,1.510511
35.357204,2.707724,1.593445
35.438339,2.742636,1.510511
35.519575,2.777303,1.510511
35.600710,2.812215,1.593445
35.681845,2.847127,1.510511
35.763002,2.881986,1.593445
35.844137,2.916898,1.510511
35.925374,2.951565,1.593445
36.006509,2.986477,1.593445
36.087745,3.021144,1.510511
